date,movement percent,stock_symbol,market_binary
2015-12-31,-0.009231,BHP,0.0
2015-12-30,-0.011783,BHP,0.0
2015-12-29,0.018978,BHP,1.0
2015-12-28,-0.012242,BHP,0.0
2015-12-24,0.006934,BHP,1.0
2015-12-23,0.057865,BHP,1.0
2015-12-22,0.010709,BHP,1.0
2015-12-21,0.014626,BHP,1.0
2015-12-18,0.013124,BHP,1.0
2015-12-17,-0.039056,BHP,0.0
2015-12-16,0.032339,BHP,1.0
2015-12-15,0.005915,BHP,1.0
2015-12-14,-0.00588,BHP,0.0
2015-12-11,-0.052527,BHP,0.0
2015-12-10,0.007618,BHP,1.0
2015-12-09,0.020458,BHP,1.0
2015-12-08,-0.041944,BHP,0.0
2015-12-07,-0.036631,BHP,0.0
2015-12-04,0.008762,BHP,1.0
2015-12-03,-0.023801,BHP,0.0
2015-12-02,-0.015379,BHP,0.0
2015-12-01,0.023613,BHP,1.0
2015-11-30,-0.011119,BHP,0.0
2015-11-27,-0.019978,BHP,0.0
2015-11-25,-0.043433,BHP,0.0
2015-11-24,0.012311,BHP,1.0
2015-11-23,-0.023024,BHP,0.0
2015-11-19,0.018182,BHP,1.0
2015-11-18,0.019608,BHP,1.0
2015-11-17,-0.021284,BHP,0.0
2015-11-16,0.0088,BHP,1.0
2015-11-13,0.007804,BHP,1.0
2015-11-12,-0.025579,BHP,0.0
2015-11-11,-0.031794,BHP,0.0
2015-11-09,-0.026341,BHP,0.0
2015-11-06,-0.052096,BHP,0.0
2015-11-05,-0.029614,BHP,0.0
2015-11-04,-0.006242,BHP,0.0
2015-11-03,0.027175,BHP,1.0
2015-10-29,-0.041313,BHP,0.0
2015-10-28,-0.006983,BHP,0.0
2015-10-27,-0.026897,BHP,0.0
2015-10-26,-0.012028,BHP,0.0
2015-10-23,0.010458,BHP,1.0
2015-10-22,0.019597,BHP,1.0
2015-10-21,-0.006869,BHP,0.0
2015-10-20,-0.008232,BHP,0.0
2015-10-19,-0.023017,BHP,0.0
2015-10-16,-0.016098,BHP,0.0
2015-10-14,0.013543,BHP,1.0
2015-10-13,-0.023745,BHP,0.0
2015-10-12,-0.018538,BHP,0.0
2015-10-09,0.01179,BHP,1.0
2015-10-08,0.046258,BHP,1.0
2015-10-07,0.04146,BHP,1.0
2015-10-06,0.01632,BHP,1.0
2015-10-05,0.019359,BHP,1.0
2015-10-02,0.030228,BHP,1.0
2015-10-01,0.014864,BHP,1.0
2015-09-30,0.028962,BHP,1.0
2015-09-29,0.008202,BHP,1.0
2015-09-28,-0.043615,BHP,0.0
2015-09-25,-0.013007,BHP,0.0
2015-09-23,-0.021309,BHP,0.0
2015-09-22,-0.038067,BHP,0.0
2015-09-21,-0.013006,BHP,0.0
2015-09-18,-0.022046,BHP,0.0
2015-09-16,0.038608,BHP,1.0
2015-09-08,0.040593,BHP,1.0
2015-09-04,-0.035714,BHP,0.0
2015-09-02,0.024648,BHP,1.0
2015-09-01,-0.074667,BHP,0.0
2015-08-28,0.019167,BHP,1.0
